Time - Basso	Amplitude - Basso
0	-0.564947
2.00E-05	-0.370622
4.00E-05	-0.169207
6.00E-05	0.0344645
8.00E-05	0.232335
0.0001	0.419893
0.00012	0.592627
0.00014	0.746992
0.00016	0.877831
0.00018	0.981601
0.0002	1.05508
0.00022	1.09246
0.00024	1.09053
0.00026	1.0438
0.00028	0.95453
0.0003	0.828525
0.00032	0.671582
0.00034	0.49208
0.00036	0.29711
0.00038	0.0950502
0.0004	-0.108299
0.00042	-0.306813
0.00044	-0.494693
0.00046	-0.66646
0.00048	-0.819213
0.0005	-0.946185
0.00052	-1.04512
0.00054	-1.10732
0.00056	-1.13342
0.00058	-1.11376
0.0006	-1.04802
0.00062	-0.940062
0.00064	-0.796655
0.00066	-0.626177
0.00068	-0.437008
0.0007	-0.23656
0.00072	-0.033211
0.00074	0.167237
0.00076	0.358663
0.00078	0.537842
0.0008	0.698007
0.00082	0.837226
0.00084	0.950985
0.00086	1.03381
0.00088	1.08408
0.0009	1.09633
0.00092	1.06474
0.00094	0.989013
0.00096	0.874286
0.00098	0.727333
0.001	0.553955
0.00102	0.363819
0.00104	0.162403
0.00106	-0.0406231
0.00108	-0.241716
0.0011	-0.433141
0.00112	-0.610708
0.00114	-0.770551
0.00116	-0.907191
0.00118	-1.01451
0.0012	-1.09056
0.00122	-1.12891
0.00124	-1.12569
0.00126	-1.07477
0.00128	-0.980023
0.0013	-0.847572
0.00132	-0.685151
0.00134	-0.501139
0.00136	-0.303913
0.00138	-0.100887
0.0014	0.100851
0.00142	0.296465
0.00144	0.479512
0.00146	0.647089
0.00148	0.793075
0.0015	0.915858
0.00152	1.00996
0.00154	1.07216
0.00156	1.09633
0.00158	1.08021
0.0016	1.01866
0.00162	0.916503
0.00164	0.779218
0.00166	0.613896
0.00168	0.428272
0.0017	0.230079
0.00172	0.0264079
0.00174	-0.17533
0.00176	-0.370944
0.00178	-0.554312
0.0018	-0.719956
0.00182	-0.864008
0.00184	-0.982601
0.00186	-1.06961
0.00188	-1.12053
0.0019	-1.13149
0.00192	-1.09733
0.00194	-1.01612
0.00196	-0.896234
0.00198	-0.742514
