Time - Gen	Amplitude - Gen
0	1.95742
2.00E-05	2.50721
4.00E-05	2.96773
6.00E-05	3.32835
8.00E-05	3.57198
0.0001	3.69155
0.00012	3.67447
0.00014	3.53009
0.00016	3.2539
0.00018	2.86267
0.0002	2.36412
0.00022	1.78243
0.00024	1.13951
0.00026	0.455986
0.00028	-0.23237
0.0003	-0.916859
0.00032	-1.57331
0.00034	-2.16918
0.00036	-2.69608
0.00038	-3.12759
0.0004	-3.44792
0.00042	-3.6561
0.00044	-3.72571
0.00046	-3.66706
0.00048	-3.47531
0.0005	-3.15917
0.00052	-2.72702
0.00054	-2.20011
0.00056	-1.59071
0.00058	-0.931361
0.0006	-0.239138
0.00062	0.446963
0.00064	1.12243
0.00066	1.75375
0.00068	2.33254
0.0007	2.82658
0.00072	3.22071
0.00074	3.50656
0.00076	3.66319
0.00078	3.6967
0.0008	3.59454
0.00082	3.35703
0.00084	3.0035
0.00086	2.5404
0.00088	1.98417
0.0009	1.35962
0.00092	0.687695
0.00094	-0.00646307
0.00096	-0.690308
0.00098	-1.35933
0.001	-1.9813
0.00102	-2.52786
0.00104	-2.99385
0.00106	-3.35414
0.00108	-3.59777
0.0011	-3.71959
0.00112	-3.7009
0.00114	-3.55298
0.00116	-3.27551
0.00118	-2.88396
0.0012	-2.38509
0.00122	-1.79954
0.00124	-1.15823
0.00126	-0.473102
0.00128	0.216222
0.0013	0.902323
0.00132	1.54975
0.00134	2.14756
0.00136	2.6735
0.00138	3.10083
0.0014	3.42309
0.00142	3.6287
0.00144	3.69702
0.00146	3.63934
0.00148	3.45145
0.0015	3.13595
0.00152	2.70605
0.00154	2.18011
0.00156	1.5707
0.00158	0.916181
0.0016	0.224923
0.00162	-0.462145
0.00164	-1.13954
0.00166	-1.77569
0.00168	-2.35512
0.0017	-2.85044
0.00172	-3.24747
0.00174	-3.53171
0.00176	-3.69059
0.00178	-3.72378
0.0018	-3.61969
0.00182	-3.38025
0.00184	-3.0264
0.00186	-2.56137
0.00188	-2.00321
0.0019	-1.3777
0.00192	-0.702231
0.00194	-0.00936345
0.00196	0.675126
0.00198	1.34093
