Time - Alto	Amplitude - Alto
0	0.340616
0.0005	0.27004
0.001	0.16047
0.0015	0.0608902
0.002	-0.0370782
0.0025	-0.143748
0.003	-0.237849
0.0035	-0.317448
0.004	-0.367721
0.0045	-0.373844
0.005	-0.348385
0.0055	-0.265241
0.006	-0.156316
0.0065	-0.0596367
0.007	0.0438102
0.0075	0.141779
0.008	0.242325
0.0085	0.314512
0.009	0.366075
0.0095	0.369942
0.01	0.346094
0.0105	0.267139
0.011	0.163048
0.0115	0.0663687
0.012	-0.0422344
0.0125	-0.139236
0.013	-0.240749
0.0135	-0.320671
0.014	-0.363854
0.0145	-0.374811
0.015	-0.348708
0.0155	-0.269753
0.016	-0.159539
0.0165	-0.066082
0.017	0.0441324
0.0175	0.147257
0.018	0.236847
0.0185	0.315157
0.019	0.359307
0.0195	0.371875
0.02	0.347706
0.0205	0.269073
0.021	0.162081
0.0215	0.0650796
0.022	-0.0422344
0.0225	-0.146326
0.023	-0.236237
0.0235	-0.315514
0.024	-0.365788
0.0245	-0.377067
0.025	-0.344841
0.0255	-0.266208
0.026	-0.157927
0.0265	-0.0641484
0.027	0.0421988
0.0275	0.14339
0.028	0.241358
0.0285	0.312901
0.029	0.363497
0.0295	0.371875
0.03	0.342549
0.0305	0.264884
0.031	0.157569
0.0315	0.0650796
0.032	-0.0412676
0.0325	-0.143425
0.033	-0.237849
0.0335	-0.319382
0.034	-0.36611
0.0345	-0.378034
0.035	-0.345163
0.0355	-0.267175
0.036	-0.157283
0.0365	-0.0635039
0.037	0.0409098
0.0375	0.146935
0.038	0.245225
0.0385	0.313223
0.039	0.363497
0.0395	0.374131
0.04	0.34545
0.0405	0.268106
0.041	0.164337
0.0415	0.0641128
0.042	-0.0399786
0.0425	-0.146004
0.043	-0.242683
0.0435	-0.320026
0.044	-0.368366
0.0445	-0.372233
0.045	-0.348708
0.0455	-0.273298
0.046	-0.159539
0.0465	-0.0631816
0.047	0.0396207
0.0475	0.148868
0.048	0.242325
0.0485	0.318057
0.049	0.366719
0.0495	0.370586
