Time - Basso	Amplitude - Basso
0	0.969999
0.0005	1.94646
0.001	2.91907
0.0015	3.48368
0.002	3.57166
0.0025	3.27066
0.003	2.6735
0.0035	1.86396
0.004	0.941962
0.0045	-0.0267657
0.005	-0.988724
0.0055	-1.97195
0.006	-2.95002
0.0065	-3.51044
0.007	-3.59552
0.0075	-3.29259
0.008	-2.69189
0.0085	-1.88075
0.009	-0.955853
0.0095	0.0144841
0.01	0.974188
0.0105	1.95162
0.011	2.92293
0.0115	3.48529
0.012	3.57134
0.0125	3.26937
0.013	2.66995
0.0135	1.85945
0.014	0.937772
0.0145	-0.031922
0.015	-0.993236
0.0155	-1.97807
0.016	-2.95389
0.0165	-3.51237
0.017	-3.59552
0.0175	-3.29098
0.018	-2.68867
0.0185	-1.87592
0.019	-0.950375
0.0195	0.0193181
0.02	0.9787
0.0205	1.95645
0.021	2.92712
0.0215	3.4869
0.022	3.57069
0.0225	3.26712
0.023	2.66641
0.0235	1.85591
0.024	0.932938
0.0245	-0.0364337
0.025	-0.997103
0.0255	-1.98259
0.026	-2.9584
0.0265	-3.51302
0.027	-3.59455
0.0275	-3.2884
0.028	-2.68512
0.0285	-1.87205
0.029	-0.946185
0.0295	0.0235075
0.03	0.983856
0.0305	1.96193
0.031	2.93099
0.0315	3.48819
0.032	3.56973
0.0325	3.26422
0.033	2.66222
0.0335	1.85075
0.034	0.927782
0.0345	-0.0409454
0.035	-1.00226
0.0355	-1.98742
0.036	-2.96227
0.0365	-3.51495
0.037	-3.59423
0.0375	-3.28614
0.038	-2.68061
0.0385	-1.86722
0.039	-0.941029
0.0395	0.0286637
0.04	0.98869
0.0405	1.96709
0.041	2.93518
0.0415	3.48916
0.042	3.56973
0.0425	3.26196
0.043	2.65932
0.0435	1.84688
0.044	0.923271
0.0445	-0.0461016
0.045	-1.00645
0.0455	-1.99225
0.046	-2.96614
0.0465	-3.51624
0.047	-3.59391
0.0475	-3.28357
0.048	-2.67771
0.0485	-1.8627
0.049	-0.936839
0.0495	0.0334977
