120	-14.502105
160	-18.95842
180	-21.07582
200	-23.1195
240	-26.943
280	-30.4709
300	-32.154
320	-33.7086
340	-35.2446
360	-36.6466
380	-38.0211
400	-39.318
420	-40.5865
440	-41.8016
460	-42.9529
480	-44.0006
500	-44.9724
520	-45.9546
560	-47.6884
580	-48.5923
600	-49.4339
620	-50.206
640	-51.0961
660	-51.7358
680	-52.5754
700	-53.1472
740	-54.3845
780	-55.6254
800	-56.2797
820	-56.7448
840	-57.1429
860	-57.7711
880	-58.212
900	-58.6648
940	-59.5771
960	-59.9682
980	-60.4339
1000	-60.7332
1020	-61.2535
1040	-61.5145
1060	-61.8692
1100	-62.5493
1140	-63.298
1180	-63.826
1220	-64.3962
1240	-64.6852
1260	-64.923
1300	-65.4484
1320	-65.7593
1340	-66.0028
1360	-66.1592
1380	-66.432
1420	-66.9361
1460	-67.2074
1480	-67.5761
1500	-67.7812
1540	-68.174
1560	-68.3184
1580	-68.5118
1620	-68.8523
1640	-69.0671
1700	-69.5075
1720	-69.6491
1740	-69.871
1780	-70.1545
1800	-70.2284
1820	-70.4453
1860	-70.6432
1880	-70.8284
1900	-70.9971
1920	-71.0871
1940	-71.1847
1960	-71.3155
1980	-71.4392
2000	-71.4697
2040	-71.8459
2060	-71.9368
2080	-71.9717
2100	-72.0436
2120	-72.2557
2140	-72.3062
2180	-72.5272
2200	-72.5503
2220	-72.7058
2260	-72.8909
2300	-73.0254
2340	-73.2455
2380	-73.403
2400	-73.435
2420	-73.5201
2460	-73.7052
2480	-73.7474
2520	-73.8527
2540	-74.0012
2560	-74.1664
2580	-74.1479
2600	-74.271
2640	-74.3576
2660	-74.3278
2680	-74.4041
2720	-74.5904
2740	-74.5481
2760	-74.6565
2800	-74.8269
2820	-74.7709
2840	-74.8264
2860	-74.9343
2900	-74.9888
2920	-75.0217
2940	-75.2155
2980	-75.1182
3000	-75.2198
