Time - Medio	Amplitude - Medio
0	1.30548
5.00E-05	1.78823
0.0001	2.23683
0.00015	2.60067
0.0002	2.80563
0.00025	2.78661
0.0003	2.5143
0.00035	2.06055
0.0004	1.51656
0.00045	0.946151
0.0005	0.375743
0.00055	-0.184031
0.0006	-0.723501
0.00065	-1.23332
0.0007	-1.71962
0.00075	-2.1753
0.0008	-2.55686
0.00085	-2.79018
0.0009	-2.80823
0.00095	-2.56782
0.001	-2.13308
0.00105	-1.59619
0.0011	-1.02546
0.00115	-0.453121
0.0012	0.109874
0.00125	0.653857
0.0013	1.16723
0.00135	1.65675
0.0014	2.11759
0.00145	2.51204
0.0015	2.76889
0.00155	2.81852
0.0016	2.61227
0.00165	2.1988
0.0017	1.67254
0.00175	1.10535
0.0018	0.533652
0.00185	-0.0296661
0.0019	-0.576871
0.00195	-1.0941
0.002	-1.58717
0.00205	-2.05348
0.0021	-2.46211
0.00215	-2.74474
0.0022	-2.82821
0.00225	-2.65837
0.0023	-2.26779
0.00235	-1.7512
0.0024	-1.1853
0.00245	-0.611353
0.0025	-0.0448125
0.00255	0.504971
0.0026	1.02704
0.00265	1.52204
0.0027	1.99352
0.00275	2.41278
0.0028	2.71507
0.00285	2.82819
0.0029	2.69412
0.00295	2.32899
0.003	1.82594
0.00305	1.26487
0.0031	0.692851
0.00315	0.12631
0.0032	-0.427018
0.00325	-0.953275
0.0033	-1.45149
0.00335	-1.92651
0.0034	-2.35802
0.00345	-2.68415
0.0035	-2.82788
0.00355	-2.73185
0.0036	-2.39315
0.00365	-1.90234
0.0037	-1.3445
0.00375	-0.771518
0.0038	-0.201755
0.00385	0.354151
0.0039	0.885888
0.00395	1.38701
0.004	1.86622
0.00405	2.30418
0.0041	2.64804
0.00415	2.81852
0.0042	2.75826
0.00425	2.4492
0.0043	1.9745
0.00435	1.42343
0.0044	0.851405
0.00445	0.28293
0.0045	-0.275231
0.00455	-0.809867
0.0046	-1.3155
0.00465	-1.79728
0.0047	-2.24523
0.00475	-2.60778
0.0048	-2.80984
0.00485	-2.78599
0.0049	-2.50723
0.00495	-2.04929
