Time - Gen	Amplitude - Gen
0	1.95807
5.00E-05	2.54975
0.0001	2.98481
0.00015	3.23586
0.0002	3.29999
0.00025	3.18881
0.0003	2.91198
0.00035	2.48401
0.0004	1.91037
0.00045	1.21589
0.0005	0.433106
0.00055	-0.368044
0.0006	-1.15727
0.00065	-1.8843
0.0007	-2.49627
0.00075	-2.96001
0.0008	-3.23748
0.00085	-3.32836
0.0009	-3.23877
0.00095	-2.98225
0.001	-2.57458
0.00105	-2.01997
0.0011	-1.33419
0.00115	-0.56398
0.0012	0.235557
0.00125	1.0293
0.0013	1.76825
0.00135	2.40086
0.0014	2.87878
0.00145	3.18172
0.0015	3.29967
0.00155	3.23618
0.0016	3.00511
0.00165	2.62032
0.0017	2.08149
0.00175	1.41698
0.0018	0.65998
0.00185	-0.139236
0.0019	-0.944252
0.00195	-1.69126
0.002	-2.34255
0.00205	-2.84948
0.0021	-3.17915
0.00215	-3.32385
0.0022	-3.28099
0.00225	-3.07281
0.0023	-2.70607
0.00235	-2.18755
0.0024	-1.53367
0.00245	-0.787631
0.0025	0.0115837
0.00255	0.811767
0.0026	1.56941
0.00265	2.23683
0.0027	2.76438
0.00275	3.11823
0.0028	3.28774
0.00285	3.27292
0.0029	3.08471
0.00295	2.73892
0.003	2.24617
0.00305	1.61034
0.0031	0.875253
0.00315	0.0837709
0.0032	-0.719311
0.00325	-1.48759
0.0033	-2.17208
0.00335	-2.72476
0.0034	-3.10568
0.00345	-3.29613
0.0035	-3.30419
0.00355	-3.14113
0.0036	-2.82402
0.00365	-2.34352
0.0037	-1.72864
0.00375	-1
0.0038	-0.20949
0.00385	0.591015
0.0039	1.368
0.00395	2.06312
0.004	2.63064
0.00405	3.04153
0.0041	3.25713
0.00415	3.29
0.0042	3.15207
0.00425	2.85332
0.0043	2.40118
0.00435	1.79854
0.0044	1.08634
0.00445	0.304844
0.0045	-0.494693
0.00455	-1.28424
0.0046	-1.99258
0.00465	-2.5849
0.0047	-3.01286
0.00475	-3.26359
0.0048	-3.32546
0.00485	-3.20558
0.0049	-2.92682
0.00495	-2.49337
