Time - Alto	Amplitude - Alto
0	2.87266
2.00E-05	2.96612
4.00E-05	2.95967
6.00E-05	2.84623
8.00E-05	2.63773
0.0001	2.33093
0.00012	1.94227
0.00014	1.47821
0.00016	0.963876
0.00018	0.404424
0.0002	-0.161472
0.00022	-0.728012
0.00024	-1.2562
0.00026	-1.74153
0.00028	-2.15596
0.0003	-2.49756
0.00032	-2.75183
0.00034	-2.9149
0.00036	-2.97677
0.00038	-2.93359
0.0004	-2.78986
0.00042	-2.55009
0.00044	-2.21204
0.00046	-1.79438
0.00048	-1.30744
0.0005	-0.776674
0.00052	-0.209812
0.00054	0.35834
0.00056	0.911991
0.00058	1.43342
0.0006	1.89007
0.00062	2.2784
0.00064	2.59293
0.00066	2.81401
0.00068	2.94581
0.0007	2.96934
0.00072	2.89329
0.00074	2.71475
0.00076	2.44308
0.00078	2.08085
0.0008	1.64128
0.00082	1.13951
0.00084	0.593593
0.00086	0.0257634
0.00088	-0.538199
0.0009	-1.08476
0.00092	-1.58104
0.00094	-2.02255
0.00096	-2.39444
0.00098	-2.67868
0.001	-2.87719
0.00102	-2.97033
0.00104	-2.96356
0.00106	-2.84819
0.00108	-2.64323
0.0011	-2.33546
0.00112	-1.94391
0.00114	-1.47728
0.00116	-0.960365
0.00118	-0.400592
0.0012	0.170138
0.00122	0.733779
0.00124	1.26552
0.00126	1.74763
0.00128	2.15916
0.0013	2.49754
0.00132	2.75213
0.00134	2.91133
0.00136	2.97224
0.00138	2.93002
0.0014	2.7879
0.00142	2.54459
0.00144	2.21201
0.00146	1.79468
0.00148	1.31063
0.0015	0.779218
0.00152	0.216544
0.00154	-0.352575
0.00156	-0.904613
0.00158	-1.42442
0.0016	-1.88236
0.00162	-2.27423
0.00164	-2.5936
0.00166	-2.81757
0.00168	-2.94841
0.0017	-2.97548
0.00172	-2.89685
0.00174	-2.71896
0.00176	-2.44826
0.00178	-2.08217
0.0018	-1.63937
0.00182	-1.13632
0.00184	-0.588794
0.00186	-0.0196759
0.00188	0.543965
0.0019	1.09246
0.00192	1.58939
0.00194	2.028
0.00196	2.39474
0.00198	2.67608
