Time - Medio	Amplitude - Medio
0	-0.606197
2.00E-05	-0.327761
4.00E-05	-0.0444903
6.00E-05	0.23588
8.00E-05	0.504971
0.0001	0.757304
0.00012	0.986112
0.00014	1.18753
0.00016	1.35478
0.00018	1.48047
0.0002	1.55717
0.00022	1.57715
0.00024	1.53203
0.00026	1.41988
0.00028	1.25069
0.0003	1.03445
0.00032	0.784052
0.00034	0.51335
0.00036	0.232979
0.00038	-0.0515801
0.0004	-0.328727
0.00042	-0.592662
0.00044	-0.836615
0.00046	-1.05704
0.00048	-1.24589
0.0005	-1.40058
0.00052	-1.50918
0.00054	-1.56783
0.00056	-1.56719
0.00058	-1.49919
0.0006	-1.36738
0.00062	-1.18176
0.00064	-0.954564
0.00066	-0.696753
0.00068	-0.422184
0.0007	-0.139236
0.00072	0.14339
0.00074	0.416992
0.00076	0.675126
0.00078	0.912314
0.0008	1.12436
0.00082	1.30322
0.00084	1.44373
0.00086	1.53686
0.00088	1.57682
0.0009	1.55459
0.00092	1.46371
0.00094	1.31257
0.00096	1.11051
0.00098	0.870741
0.001	0.60584
0.00102	0.326436
0.00104	0.0428434
0.00106	-0.237527
0.00108	-0.506617
0.0011	-0.757661
0.00112	-0.986468
0.00114	-1.18692
0.00116	-1.35256
0.00118	-1.47824
0.0012	-1.5543
0.00122	-1.57396
0.00124	-1.52948
0.00126	-1.41798
0.00128	-1.24911
0.0013	-1.0332
0.00132	-0.784731
0.00134	-0.514996
0.00136	-0.233659
0.00138	0.0492887
0.0014	0.327403
0.00142	0.591338
0.00144	0.836259
0.00146	1.05669
0.00148	1.24779
0.0015	1.40183
0.00152	1.51173
0.00154	1.5707
0.00156	1.56909
0.00158	1.50206
0.0016	1.36929
0.00162	1.18302
0.00164	0.954208
0.00166	0.695751
0.00168	0.420537
0.0017	0.137267
0.00172	-0.144392
0.00174	-0.418639
0.00176	-0.676128
0.00178	-0.912992
0.0018	-1.12343
0.00182	-1.30164
0.00184	-1.44215
0.00186	-1.53496
0.00188	-1.57428
0.0019	-1.55172
0.00192	-1.46181
0.00194	-1.31099
0.00196	-1.1099
0.00198	-0.870775
